filename,File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean
5,Artificial_jitter_2_jitterperiodic_aobhs_uob.csv,19467,61270,18768,495,0.5091,0.9752,0.669,0.9752,0.7655,0.864
5,Artificial_jitter_2_jittersudden_aobhs_uob.csv,19411,59929,20109,551,0.4912,0.9724,0.6527,0.9724,0.7488,0.8533
5,Artificial_jitter_3_jitterincremental_aobhs_uob.csv,29380,51811,18290,519,0.6163,0.9826,0.7575,0.9826,0.7391,0.8522
5,Artificial_jitter_3_jitterperiodic_aobhs_uob.csv,29317,52097,18004,582,0.6195,0.9805,0.7593,0.9805,0.7432,0.8536
5,Artificial_jitter_3_jittersudden_aobhs_uob.csv,29455,51922,18179,444,0.6184,0.9852,0.7598,0.9852,0.7407,0.8542
5,Artificial_jitter_4_jitterincremental_aobhs_uob.csv,38960,44842,15554,644,0.7147,0.9837,0.8279,0.9837,0.7425,0.8546
5,Artificial_jitter_4_jitterperiodic_aobhs_uob.csv,39067,45495,14901,537,0.7239,0.9864,0.835,0.9864,0.7533,0.862
5,Artificial_jitter_4_jittersudden_aobhs_uob.csv,39071,44953,15443,533,0.7167,0.9865,0.8303,0.9865,0.7443,0.8569
5,Artificial_minority-share_1_minority-shareincremental_aobhs_uob.csv,4514,85786,9361,339,0.3253,0.9301,0.4821,0.9301,0.9016,0.9158
5,Artificial_minority-share_1_minority-shareperiodic_aobhs_uob.csv,384,87991,11514,111,0.0323,0.7758,0.062,0.7758,0.8843,0.8282
5,Artificial_minority-share_1_minority-sharesudden_aobhs_uob.csv,4446,85516,9622,416,0.316,0.9144,0.4697,0.9144,0.8989,0.9066
5,Artificial_minority-share_2_minority-shareincremental_aobhs_uob.csv,9561,79814,10305,320,0.4813,0.9676,0.6428,0.9676,0.8857,0.9257
5,Artificial_minority-share_2_minority-shareperiodic_aobhs_uob.csv,906,85850,13125,119,0.0646,0.8839,0.1204,0.8839,0.8674,0.8756
5,Artificial_minority-share_2_minority-sharesudden_aobhs_uob.csv,9601,79694,10398,307,0.4801,0.969,0.6421,0.969,0.8846,0.9258
5,Artificial_minority-share_3_minority-shareincremental_aobhs_uob.csv,14823,76128,8822,227,0.6269,0.9849,0.7661,0.9849,0.8962,0.9395
5,Artificial_minority-share_3_minority-shareperiodic_aobhs_uob.csv,1437,87425,10992,146,0.1156,0.9078,0.2051,0.9078,0.8883,0.898
5,Artificial_minority-share_3_minority-sharesudden_aobhs_uob.csv,14743,75527,9459,271,0.6092,0.982,0.7519,0.982,0.8887,0.9342
5,Artificial_minority-share_4_minority-shareincremental_aobhs_uob.csv,19806,73034,6935,225,0.7407,0.9888,0.8469,0.9888,0.9133,0.9503
