filename,File Name,,,,,Cost,Runtime
1,Artificial,appearing-minority,4,appearing-minorityperiodic,EFDT.csv,297604,2
1,Artificial,appearing-minority,4,appearing-minorityperiodic,MICFOAL.csv,157948,2.296875
1,Artificial,appearing-minority,4,appearing-minorityperiodic,OOB.csv,120275,4.28125
1,Artificial,appearing-minority,4,appearing-minorityperiodic,ROSE.csv,122631,8.859375
1,Artificial,appearing-minority,4,appearing-minorityperiodic,SGBT.csv,158737,97.578125
1,Artificial,appearing-minority,4,appearing-minorityperiodic,UOB.csv,92766,3.71875
1,Artificial,appearing-minority,4,appearing-minoritysudden,ARF-Re.csv,95089,7.96875
1,Artificial,appearing-minority,4,appearing-minoritysudden,ARF.csv,151182,10.59375
1,Artificial,appearing-minority,4,appearing-minoritysudden,CALMID.csv,135897,5.640625
1,Artificial,appearing-minority,4,appearing-minoritysudden,CSMOTE.csv,246246,200.265625
1,Artificial,appearing-minority,4,appearing-minoritysudden,EFDT.csv,2085443,2.03125
1,Artificial,appearing-minority,4,appearing-minoritysudden,MICFOAL.csv,257218,2.359375
1,Artificial,appearing-minority,4,appearing-minoritysudden,OOB.csv,116583,4.671875
1,Artificial,appearing-minority,4,appearing-minoritysudden,ROSE.csv,111732,8.84375
1,Artificial,appearing-minority,4,appearing-minoritysudden,SGBT.csv,248147,99.828125
1,Artificial,appearing-minority,4,appearing-minoritysudden,UOB.csv,129514,4.546875
1,Artificial,borderline,1,borderlineincremental,ARF-Re.csv,100730,9.703125
1,Artificial,borderline,1,borderlineincremental,ARF.csv,709159,13.375
1,Artificial,borderline,1,borderlineincremental,CALMID.csv,631047,7.625
1,Artificial,borderline,1,borderlineincremental,CSMOTE.csv,124626,139.5625
1,Artificial,borderline,1,borderlineincremental,EFDT.csv,1063746,2.796875
1,Artificial,borderline,1,borderlineincremental,MICFOAL.csv,716070,3.1875
1,Artificial,borderline,1,borderlineincremental,OOB.csv,132343,6.6875
1,Artificial,borderline,1,borderlineincremental,ROSE.csv,229368,12.59375
1,Artificial,borderline,1,borderlineincremental,SGBT.csv,891561,76.4375
1,Artificial,borderline,1,borderlineincremental,UOB.csv,114229,5.125
1,Artificial,borderline,1,borderlineperiodic,ARF-Re.csv,101507,10.671875
1,Artificial,borderline,1,borderlineperiodic,ARF.csv,512506,12.875
1,Artificial,borderline,1,borderlineperiodic,CALMID.csv,440768,6.984375
1,Artificial,borderline,1,borderlineperiodic,CSMOTE.csv,125326,142.546875
1,Artificial,borderline,1,borderlineperiodic,EFDT.csv,1027239,2.34375
1,Artificial,borderline,1,borderlineperiodic,MICFOAL.csv,564715,2.90625
1,Artificial,borderline,1,borderlineperiodic,OOB.csv,130390,5.46875
1,Artificial,borderline,1,borderlineperiodic,ROSE.csv,196974,10.640625
1,Artificial,borderline,1,borderlineperiodic,SGBT.csv,784393,73.0625
1,Artificial,borderline,1,borderlineperiodic,UOB.csv,115581,5
1,Artificial,borderline,1,borderlinesudden,ARF-Re.csv,99344,9.4375
1,Artificial,borderline,1,borderlinesudden,ARF.csv,734925,12.734375
1,Artificial,borderline,1,borderlinesudden,CALMID.csv,674191,7.328125
1,Artificial,borderline,1,borderlinesudden,CSMOTE.csv,125784,166.1875
1,Artificial,borderline,1,borderlinesudden,EFDT.csv,1054452,2.90625
1,Artificial,borderline,1,borderlinesudden,MICFOAL.csv,729727,3.328125
1,Artificial,borderline,1,borderlinesudden,OOB.csv,131544,7.09375
1,Artificial,borderline,1,borderlinesudden,ROSE.csv,238704,14.28125
1,Artificial,borderline,1,borderlinesudden,SGBT.csv,893440,76.9375
1,Artificial,borderline,1,borderlinesudden,UOB.csv,113491,4.265625
1,Artificial,borderline,2,borderlineincremental,ARF-Re.csv,103989,9.578125
1,Artificial,borderline,2,borderlineincremental,ARF.csv,600931,14.0625
1,Artificial,borderline,2,borderlineincremental,CALMID.csv,472466,7
1,Artificial,borderline,2,borderlineincremental,CSMOTE.csv,184720,278.203125
1,Artificial,borderline,2,borderlineincremental,EFDT.csv,720595,2.5625
1,Artificial,borderline,2,borderlineincremental,MICFOAL.csv,634878,2.640625
1,Artificial,borderline,2,borderlineincremental,OOB.csv,112913,5.4375
1,Artificial,borderline,2,borderlineincremental,ROSE.csv,139978,9.546875
1,Artificial,borderline,2,borderlineincremental,SGBT.csv,1138850,72.125
1,Artificial,borderline,2,borderlineincremental,UOB.csv,120714,4.859375
1,Artificial,borderline,2,borderlineperiodic,ARF-Re.csv,104614,9.828125
1,Artificial,borderline,2,borderlineperiodic,ARF.csv,452230,14.96875
1,Artificial,borderline,2,borderlineperiodic,CALMID.csv,376417,8.375
1,Artificial,borderline,2,borderlineperiodic,CSMOTE.csv,179921,293.71875
1,Artificial,borderline,2,borderlineperiodic,EFDT.csv,621508,2.546875
1,Artificial,borderline,2,borderlineperiodic,MICFOAL.csv,550745,2.625
1,Artificial,borderline,2,borderlineperiodic,OOB.csv,114784,5.140625
1,Artificial,borderline,2,borderlineperiodic,ROSE.csv,132282,10.0625
1,Artificial,borderline,2,borderlineperiodic,SGBT.csv,802729,72.109375
1,Artificial,borderline,2,borderlineperiodic,UOB.csv,121867,5.453125
1,Artificial,borderline,2,borderlinesudden,ARF-Re.csv,104896,12.25
1,Artificial,borderline,2,borderlinesudden,ARF.csv,633880,17.8125
1,Artificial,borderline,2,borderlinesudden,CALMID.csv,494267,8.53125
1,Artificial,borderline,2,borderlinesudden,CSMOTE.csv,189748,356.96875
1,Artificial,borderline,2,borderlinesudden,EFDT.csv,771239,2.765625
1,Artificial,borderline,2,borderlinesudden,MICFOAL.csv,672607,3.140625
1,Artificial,borderline,2,borderlinesudden,OOB.csv,113276,6.234375
1,Artificial,borderline,2,borderlinesudden,ROSE.csv,136817,12.046875
1,Artificial,borderline,2,borderlinesudden,SGBT.csv,1186060,74.8125
1,Artificial,borderline,2,borderlinesudden,UOB.csv,120196,4.71875
1,Artificial,borderline,3,borderlineincremental,ARF-Re.csv,110159,10.34375
1,Artificial,borderline,3,borderlineincremental,ARF.csv,290360,15.71875
1,Artificial,borderline,3,borderlineincremental,CALMID.csv,277031,7.375
1,Artificial,borderline,3,borderlineincremental,CSMOTE.csv,242895,483.296875
1,Artificial,borderline,3,borderlineincremental,EFDT.csv,408022,2.609375
1,Artificial,borderline,3,borderlineincremental,MICFOAL.csv,493460,2.78125
1,Artificial,borderline,3,borderlineincremental,OOB.csv,128363,5.5625
1,Artificial,borderline,3,borderlineincremental,ROSE.csv,118320,9.8125
1,Artificial,borderline,3,borderlineincremental,SGBT.csv,827882,70.75
1,Artificial,borderline,3,borderlineincremental,UOB.csv,117593,5.15625
1,Artificial,borderline,3,borderlineperiodic,ARF-Re.csv,109656,10.671875
1,Artificial,borderline,3,borderlineperiodic,ARF.csv,241709,17.625
1,Artificial,borderline,3,borderlineperiodic,CALMID.csv,239917,8.765625
1,Artificial,borderline,3,borderlineperiodic,CSMOTE.csv,236839,481.4375
1,Artificial,borderline,3,borderlineperiodic,EFDT.csv,380009,3.0625
1,Artificial,borderline,3,borderlineperiodic,MICFOAL.csv,454292,3.265625
1,Artificial,borderline,3,borderlineperiodic,OOB.csv,130112,6.53125
1,Artificial,borderline,3,borderlineperiodic,ROSE.csv,115865,11.6875
1,Artificial,borderline,3,borderlineperiodic,SGBT.csv,597585,71.359375
1,Artificial,borderline,3,borderlineperiodic,UOB.csv,120107,5.765625
1,Artificial,borderline,3,borderlinesudden,ARF-Re.csv,111089,12.625
1,Artificial,borderline,3,borderlinesudden,ARF.csv,299048,18.9375
1,Artificial,borderline,3,borderlinesudden,CALMID.csv,283475,8.734375
1,Artificial,borderline,3,borderlinesudden,CSMOTE.csv,244562,473.96875
1,Artificial,borderline,3,borderlinesudden,EFDT.csv,410435,2.984375
1,Artificial,borderline,3,borderlinesudden,MICFOAL.csv,524443,3.21875
1,Artificial,borderline,3,borderlinesudden,OOB.csv,128401,6.46875
1,Artificial,borderline,3,borderlinesudden,ROSE.csv,116710,12.328125
